id;opportunity_type_id;stage_name;stage_order;description;required_documents;required_actions;max_duration_days;min_duration_days;is_mandatory;can_skip;validation_required;created_at;updated_at
f62fed3c-0e11-4265-b3a1-3d700c64c564;03d4c690-35da-4def-8545-06518d56f250;Identification;1;Identification d'un besoin d'accompagnement en management;Lead/Contact initial,Notes de détection;Créer la fiche opportunité,Qualifier rapidement l'intérêt;7;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
a4a2dbca-f60b-433a-84a9-0ed8b02f2a40;03d4c690-35da-4def-8545-06518d56f250;Qualification;2;Clarifier les enjeux de management, sponsors, budget et calendrier;Grille BANT,Liste des décideurs;Valider BANT,Identifier décideurs,Estimer budget;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
630e68a9-17fa-4b89-abd3-c76dd0b13169;03d4c690-35da-4def-8545-06518d56f250;Proposition;3;Élaboration et envoi de la proposition de mission de conseil;Proposition,Chiffrage,Conditions;Rédaction offre,Validation interne,Envoi au client;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
2211a103-4abe-4718-b9f0-f274c3415936;03d4c690-35da-4def-8545-06518d56f250;Négociation;4;Ajustement du périmètre, des livrables et des honoraires de conseil;Versions d'offre,Table des concessions;Négociation,Alignement interne,Validation client;15;5;true;false;false;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
680c3901-b977-4dea-919e-601c727cbdef;03d4c690-35da-4def-8545-06518d56f250;Décision;5;Décision finale du client sur la mission de conseil;Bon pour accord/Contrat,Compte-rendu de décision;Clôturer opportunité,Préparer onboarding si gagnée;5;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
4505e61b-9aff-402d-b770-662acc85fb23;18e4c5a6-89e9-4b14-8c8a-2321600f0014;Identification;1;Identification d'un besoin d'expertise juridique;Lead/Contact initial,Notes de détection;Créer la fiche opportunité,Qualifier rapidement l'intérêt;7;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
5e17f89c-034c-4f70-a6b9-ee2f5034109f;18e4c5a6-89e9-4b14-8c8a-2321600f0014;Qualification;2;Préciser le périmètre juridique, les risques et les décideurs;Grille BANT,Liste des décideurs;Valider BANT,Identifier décideurs,Estimer budget;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
97ae2a45-a060-4484-b626-92f4183b2221;18e4c5a6-89e9-4b14-8c8a-2321600f0014;Proposition;3;Rédaction et envoi de la proposition d'expertise juridique;Proposition,Chiffrage,Conditions;Rédaction offre,Validation interne,Envoi au client;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
df71b44d-406f-4f8d-9a17-320476d87f5e;18e4c5a6-89e9-4b14-8c8a-2321600f0014;Négociation;4;Ajustement des termes d'intervention et des honoraires d'expertise;Versions d'offre,Table des concessions;Négociation,Alignement interne,Validation client;15;5;true;false;false;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
89fa8150-cd72-43fc-9044-83c33ee77e22;18e4c5a6-89e9-4b14-8c8a-2321600f0014;Décision;5;Décision finale du client sur la mission d'expertise juridique;Bon pour accord/Contrat,Compte-rendu de décision;Clôturer opportunité,Préparer onboarding si gagnée;5;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
